Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United Kingdom,Stock Market,1/22/2020,7571.92,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/23/2020,7507.67,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/24/2020,7585.98,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/27/2020,7412.05,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/28/2020,7480.69,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/29/2020,7483.57,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/30/2020,7381.96,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,1/31/2020,7286.01,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/3/2020,7326.31,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/4/2020,7439.82,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/5/2020,7482.48,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/6/2020,7504.79,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/7/2020,7466.7,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/10/2020,7446.88,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/11/2020,7499.44,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/12/2020,7534.37,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/13/2020,7452.03,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/14/2020,7409.13,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/17/2020,7433.25,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/18/2020,7382.01,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/19/2020,7457.02,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/20/2020,7436.64,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/21/2020,7403.92,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/24/2020,7156.83,Daily,UKX,2020-05-04T22:00:11.847
United Kingdom,Stock Market,2/25/2020,7017.88,Daily,UKX,2020-05-04T22:00:11.847
