Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
China,Stock Market,1/22/2020,3060.7544,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,1/23/2020,2976.528,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/3/2020,2746.6057,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/4/2020,2783.2876,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/5/2020,2818.088,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/6/2020,2866.5098,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/7/2020,2875.9636,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/10/2020,2890.4878,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/11/2020,2901.6743,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/12/2020,2926.8992,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/13/2020,2906.0735,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/14/2020,2917.0078,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/17/2020,2983.6223,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/18/2020,2984.9717,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/19/2020,2975.4019,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/20/2020,3030.1543,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/21/2020,3039.6692,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/24/2020,3031.2334,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/25/2020,3013.05,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/26/2020,2987.9287,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/27/2020,2991.3289,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,2/28/2020,2880.3037,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/2/2020,2970.9312,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/3/2020,2992.8967,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/4/2020,3011.6658,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/5/2020,3071.677,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/6/2020,3034.5112,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/9/2020,2943.2908,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/10/2020,2996.7617,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/11/2020,2968.5173,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/12/2020,2923.4856,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/13/2020,2887.4265,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/16/2020,2789.2537,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/17/2020,2779.6406,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/18/2020,2728.7564,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/19/2020,2702.1296,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/20/2020,2745.6182,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/23/2020,2660.1674,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/24/2020,2722.4381,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/25/2020,2781.5913,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/26/2020,2764.9109,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/27/2020,2772.2034,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/30/2020,2747.2139,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,3/31/2020,2750.2961,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/1/2020,2734.5215,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/2/2020,2780.638,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/3/2020,2763.9873,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/7/2020,2820.7634,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/8/2020,2815.3687,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/9/2020,2825.9036,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/10/2020,2796.631,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/13/2020,2783.0476,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/14/2020,2827.283,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/15/2020,2811.174,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/16/2020,2819.935,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/17/2020,2838.4944,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/20/2020,2852.5527,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/21/2020,2827.0132,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/22/2020,2843.9805,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/23/2020,2838.4995,Daily,SHCOMP,2020-05-04T22:02:25.633
China,Stock Market,4/24/2020,2808.5293,Daily,SHCOMP,2020-05-04T22:02:25.633
